6分钟前来自iPhon,e12ProMax,Ripplee-,#mbti#一个魔羯竟然esfj-T老妈子+大冤种,[]
6分钟前来自iPhon,e客户端,daisyzjt,#mbti##infp#太准了8,[]
6分钟前来自小米10P,ro,竜昱,mbti是intp八维是enfp九型是4w5再也不测了，问就是imsb,[]
7分钟前来自iPhon,e客户端,辽机不吃肥肉,测过mbti后的一周：艹infj的meme怎么能这么好笑,[]
7分钟前来自iPhon,e11,鹿城野鹤,（稳定的）mbti能反映出一个人部分的思维和行为模式，但不能直接给一个人的性格下定义…人的个性过于复杂，包括“做测试时的自己”，也只是个性的一小部分罢了…想光靠mbti来了解一个人，是不是太图省事了//@十五纵横:p.s.做这些测试的时候应该是从了解的真实自己出发，而不是“想成为的那个自己”。,[]
8分钟前来自Andro,id,咔咔咔的咔咔啦,刷到有人骂esfj人忍不住怼了一句在网上把你讨厌的人等同于一个群体发泄愤怒只知道回复我不管我身边这个mbti就是这种人想起校园中一些和别人争论观点自己缺少论据没法以理服人就因为身边有两三个人也是这个观点就理直气壮的nt,[]
8分钟前来自iPhon,e客户端,无菌小笨蛋,#mbti##ESTJ#,[]
9分钟前来自MBTI超,话,颜辞镜-W,MBTI啊～这～～,[]
9分钟前来自开餐老公的,iPhone13,·日落LA·,你们mbti是什么我是infj,['[抱抱]']
10分钟前来自荣耀9X,,小谢爱犯困-,太真实了#mbti#,[]
10分钟前来自OPPO,RenoZ,是正态分布,#mbti#这个鬼玩意我做过好多次了，结果随时间变化有INTJ，ISTJ，ISFJ，现在是INTP每一个类型都有几条戳中，同时每一个类型都有我不认可的特质，做着玩玩还好，认真地拿这个测试来套自己和选择朋友的我也不知道说什么尊重祝福,"['[开学季]', '[开学季]', '[开学季]', '[开学季]']"
10分钟前来自微博国际,版,albertliaoliao,谁能告诉我mbti这种多年前的测试怎么又火了。个人感觉结果随便看看吧，别太认真。就好像虽然很多人试图说明intj/intp区别到底有多大，但事实就是我会在人生不同阶段测出这两种类型中的一种，甚至可能并存。作为个体的人往往比能用来定义的一个“标签”复杂得多。,[]
10分钟前来自iPho,ne客户端,喵喵糖鱼,#mbti#？？？好奇怪,[]
12分钟前来自xr改的,iPhone13,Zzzzyy_Lan,以前信星座现在信mbti……,[]
12分钟前来自vivo,S5照亮你的美,天色暗时与我相拥,#mbti#沉默住了,['[裂开]']
12分钟前来自iPho,ne客户端,TigerontheProwl_,#mbti#本ISFJ大冤种,['[苦涩]']
13分钟前转赞人数超过,70来自emo三号机HarmonyOS设备,音乐剧bot,【投稿】好奇下音乐剧演员们的mbti印象里好像有演员直播测过,"['[开学季]', '[开学季]']"
14分钟前来自微博国际,版,我老公是吴彦祖,放假前摸鱼和阿诚聊mbtienfj的她:别卷了你！estj的我:停止散发你的爱意吧！,['[举手]']
14分钟前来自MBTI,超话,jeonghee0403,MBTIESTJ测出来是高E，但周围的人都说我话少，很内向，这正常吗,[]
15分钟前来自iPho,neXSMax,电竞猛女郭德纲,被催促了很久终于做完了90多道题的mbti测试，ENFP有点意料之外但又好像在情理之中。一直感觉自己蛮割裂的，毕竟太阳和上升都是摩羯座，让我潜意识里会认为自己沉稳冷漠到骨子里，但是代表性格的月亮又是很热情的射手座，再结合下enfp的话....emm我一直疯疯癫癫时而正常时而不正常就好像说得通了,[]
16分钟前来自HUAW,EIP40Pro5G,怦然鑫动-666,#mbti#2西安,"['[并不简单]', '[并不简单]', '[并不简单]']"
17分钟前转赞人数超过,1000来自iPhone11,MBTImemes,#mbtimeme##infp#,[]
16分钟前来自HUAW,EIMate40,不好意思我确实最美,测mbti了吗,[]
18分钟前来自微博国际,版,美沢酱,存档mbtiisfj-a,[]
19分钟前来自荣耀V4,0前所未感,cy-须臾,#mbti#终是成了ISTJ,[]
19分钟前来自HUAW,EIP405G,馒头批发大王,测了MBTI是infp调停者这个词好像注定了我要嗑风盆fp,[]
20分钟前来自新版微博,weibo.com,欣xin梦园,今天找了一个上海的HR朋友要了一个正版的MBTI十六型人格测试链接，不愧是大公司用的测试题，测完感觉真的挺准的，之前同事们都说我道德感很强，测试分析显示INFJ是最少的性格类型，而且还是很容易得抑Y的类型，果然符合我劳动人民形象啊,[]
22分钟前转赞人数超过,1万,MbtiTT,#MbtiInfp会被什么样的人吸引Infp是会在三个人友谊中主动退出的那个，别说三个人的友谊了，就算是两个人，如果感觉到对方好像有些许冷淡，也许对方可能什么都没做，都会让infp觉得是自己哪里做的不好，是不是不被需要了，于是不敢主动靠近。特别会站在自己的角度共情对方，甚至不需要别人pua自己，展开c,[]
22分钟前来自MBTI,超话,正版古月,本istj女一个，对象是esfp男，怎么说呢，逼我俩扛起第四爱大旗吗？？MBTI,[]
22分钟前来自微博HT,ML5版,故城-小艾琳,前些时总见有人提mbti测试人格，我脑子笨也看不懂是个啥，直到昨晚这个话题上了热搜才去测试了一把，测了几次都一样的结果，然后从昨夜到今天找了好多这个人格的分析，害挺有意思的,"['[笑cry]', '[笑cry]']"
24分钟前转赞人数超过,10来自查理苏超话,再见55面吧,查理苏未婚妻们都是什么MBTI和星座，让我康康有没有什么奇怪的吸引力玄学！我是enfj射手评论里有测试过两天我做个统计（奇怪的好奇心增加了,"['[抓狂]', '[doge]']"
23分钟前来自小米11,Pro,煮酒话桑不言相思,【死去的大二职业生涯规划课上的mbti测试突然攻击我】Wow是稀少的INFJ结果跟大学那会儿不一样了，果然人是会变的。我很满意，因为我一直希望自己不要泯然众人矣，哪怕孤独也无所谓。社交孤狼就是我,['[交税]']
24分钟前转赞人数超过,100来自iPhone11,MBTImemes,#mbtimeme##istp#,[]
25分钟前转赞人数超过,40来自iPhoneXR,怎么可以次兔兔QAQ,#mbti#MBTI不同人格的穿衣风格，刻板印象娱乐为主，请勿对号入座。#兔牌表情包#,[]
24分钟前,,芒果吃恐龙,好不容易做了mbti的厕所，结果让我花19，拜拜,"['[怒]', '[怒]']"
25分钟前转赞人数超过,200来自微博weibo.com,小羊苏A,MBTI人格怎么突然火了，这个不是好多年前就在玩吗昨天我们在办公室讨论，带处女座的包括月处女，可能都有s和j，带水象或水元素的可能有N，统计了几个金牛都是i开头的。当然在这个跟星座结合可能有规律，但是需要统计，那么我就先来一个日月处水金秤火巨蟹---isfj，不知道为什么，感觉isf展开c,['[并不简单]']
25分钟前转赞人数超过,1400来自随意取关iPhone12,doge扫文日记,#mbti#Enfp集合了……好像真的有点准（图源网络）,['[单身狗]']
26分钟前转赞人数超过,3万来自微博weibo.com,新浪娱乐,阿乐今日问：你的#mbti#是？#谷爱凌的MBTI是INTJ#你的mbti是？,['[思考]']
25分钟前来自Andr,oid,兔兔秃了__,#mbti#MD老早就测出来过是INTJ属实是个疯子,"['[可爱]', '[good]']"
25分钟前来自iPho,ne客户端,Chhnang-,最近好的mbti，每次测的结果都不一样infp、istp、intp都有，我算是弄明白了，ixxp这种格式的，我都是,"['[二哈]', '[举手]', '[doge]']"
26分钟前来自iPho,ne11,_qimao_,2022年4月2日重做了mbti震惊地发现并确认自己是E不是I,[]
28分钟前来自MBTI,超话,楚糕,MBTIistj来抱走一波istj宝子们刚刚开通的超话,[]
28分钟前来自iPho,ne,沐宸汐落,#mbti#INFJ,[]
29分钟前转赞人数超过,10来自iPhone12,Teq_WS,突然刮起的mbti这阵风有点莫名其妙，已经到了和星座一样玄学的程度，用来被解释和预测人所有的喜恶处事和思维习惯了。但是人这种在文化、家庭、亲密关系、工作、文学音乐影视等等浸淫下，组建起来的复杂精巧的生灵，怎么可能被区区四个维度十六个类型划定，这真是对人性和情感的大不敬和器物化，混合展开c,[]
29分钟前来自Harm,onyOS設備,五四有点甜,我的记忆力就像……刚把mbti结果记得很清过一会：我是I啥来着哦哦哦再过一会：啥j来着,['[疑问]']
30分钟前来自不是iP,hone12mini,房东没猫·,都！给我！去给我做MBTI测试,['[新蝙蝠侠]']
30分钟前来自iPho,ne客户端,Layla324,#mbti#新星座学来了还是准的ESFJ报道,[]
30分钟前来自荣耀V3,0PRO5G,仲夏是大海的颜色,关于mbti我和我的傻大缺朋友们另寻找ESFP和ENTP的伙伴们,['[偷笑]']
31分钟前来自vivo,Y53s,不快乐小狗zzz,好，多变如我，语文课课前演讲决定抛弃mbti讲玫瑰少年，这个故事真的很早就了解，但是一直没机会分享,[]
32分钟前转赞人数超过,700来自小米10,霹雳毕福奸,#mbti#画的本人（enfp）和朋友们的相处时刻！包括#infp##infj##enfp##enfj#先画绿组！后面的慢慢画,"['[心]', '[心]', '[心]']"
33分钟前转赞人数超过,20来自iPhone客户端,生气熊pino,才想到测MBTI，原来我是INFJ。,[]
33分钟前来自iPho,ne7,Molly要开心吖,#mbti#【人们常说，高处不胜寒。作为人数最少且战略能力最强的人格类型之一，“建筑师”们对此深有体会。他们仅占人口的2%，女性则更为稀少，只有0.8%。这让他们很难找到志同道合能够与其过人的智慧和审慎的思考方式比肩的同类。建筑师人格类型的人想象力丰富却很果断，雄心壮志但注重隐私，充满好展开c,[]
34分钟前转赞人数超过,100来自iPhone11,MBTImemes,#mbtimeme##intj##entp##intp##entj#,[]
34分钟前转赞人数超过,2600来自微博视频号,头号青年,【年轻人为什么选择把这四个字母刻烟吸肺】#MBTI鄙视链太复杂了#新浪新闻《#头号编辑室#》栏目第4期：最近一段时间里，首页的MBTI含量过高了。曾经喜欢星座玄学的，如今爱上了测MBTI；以前热衷追星做数据的，现在爱上了测爱豆的MBTI……为什么当今年轻人如此热衷于把MBTI写进社交名片？展开c,[]
35分钟前来自OneP,lus6,啊1好饿,测试了很多遍MBTI，几乎都将我指向了指挥官人格ENTJ。团队中喜欢指手画脚的角色，给每个人部署任务，认为原则比圆滑更重要，抛弃敏感，抛弃内耗，抛弃被动。解析上说我是大反派，人群中3%的大坏逼。看上去温和但是内心烦躁，因为和谁都很好显得油滑，但只要是碍眼的人都会被我臭骂，最讨厌低效不懂得变展开c,[]
35分钟前来自小米10,Pro,·白曦ya,#mbti#好家伙,[]
36分钟前来自iPho,ne客户端,新时代女青年小王-,#mbti测试链接#我趣.,[]
37分钟前来自OPPO,Reno55G,林鹿LT,#mbti#我刚刚测试MBTI，填了90多道题，最后让我花29块钱，我果断拒绝了，白填了，浪费我十分钟,[]
37分钟前来自iPho,ne,小小小小萧o,#谷爱凌的mbti是intj#第三次,[]
37分钟前,,四颗虎牙鸭,都几年了！我为什么还是花福蝶！#mbti#,[]
38分钟前来自栖灿超话,,心事小偷,栖灿栖infj，灿intp，看到intp里那条“热爱mbti”，我就想到灿崽十分迷信mbti的样子,['[偷笑]']
38分钟前来自AI实力,派vivoZ1,我不要做小哭bao,#mbti##istj#额,[]
38分钟前来自微博we,ibo.com,Er-double,怎么搞星座的也来分析MBTI，甚至现在说自己人格类型以外还要加上自己的星座和血型，MBTI越来越往魔怔的方向去了，我真的是脚趾扣底。,[]
38分钟前来自iPho,ne客户端,bensimmons4ever,测了n次都是istj虽然不代表永远不过还挺好奇10年后自己的mbti人格,[]
39分钟前来自iPho,ne客户端,罐头啊-,MBTI测出来的结果和去年不一样人的性格真的是会变奥,[]
39分钟前来自iPho,ne客户端,Kuroh-Y,希望那些博主跟风更新的狗屁不通mbti解读滚出我的奶头乐世界,[]
40分钟前来自HUAW,EIP30,米糕不加甜,mbti离我远点怎么心理课作业测完这个满世界都在做mbti测试啊,['[衰]']
40分钟前来自iPho,ne客户端,王burry,#mbti#Zzz,[]
42分钟前转赞人数超过,200来自iPhone11,MBTImemes,#mbtimeme##intp##isfj#,[]
41分钟前来自.iPh,one12,岳了了,高中的时候好像全年级都做过一次mbti测试当时www还说她们老师测出来最适合的职业还真的是老师我记得那套卷子的题巨无比多很靠谱的样子所以哪儿还能找到那套题吗想再测一次我感觉五年过去我从i变e了,['[苦涩]']
41分钟前来自iPho,ne客户端,路易十六系专业科学家,mbti实录ESTPESTJ不定时切换工作时愤怒的擦屁股，没工作就热爱自由,[]
41分钟前,,小春日和淞奈桃沢,原来mbti里的人格是真的完完全全贴合的那种好奇妙哦这样我就可以读懂一些人的内心啦！,[]
42分钟前来自iPho,ne客户端,Powehi77,#谷爱凌的MBTI是INTJ#所以我总跟别人解释，说话真的是一件很累的事情！,[]
42分钟前来自OPPO,智能手机,濯三三尘,#mbti#求助求助巨蟹的enfp怎么和射手的infp相处！！！我真的求求,[]
42分钟前来自iPho,ne11,I喝汤I,总觉得测MBTI有逐渐成为新时代算星座的趋势2北京·通泰大厦,['[草泥马]']
43分钟前来自微博视频,号,新周刊,年轻人为什么选择把这四个字母刻烟吸肺】打开社交软件持续滑动10秒，你或许就能找到一个简介里写着“INTP”的人。你有可能不知道这串字母代表某种鄙视链的顶端，但你一定知道它出自一个叫MBTI的人格测试。最近，MBTI成了继属相、星座外的又一种社交密码，越来越多年轻人将其写进社交名片中，寻找同属性展开c,[]
43分钟前来自微博国际,版,-浠有海獭-,我问顺姐是MBTI哪种人格姐跟我说她是承重墙,[]
43分钟前来自MBTI,超话,淞沐沭湘榕,MBTI#mbti#isfj请和本快乐狗狗enfp交朋友吧！2合肥,[]
43分钟前来自GOT7,超话,HouZi小后,GOT7和谦谦宝贝一样的MBTI（狂喜）but我却是个废柴,['[允悲]']
43分钟前来自iPho,ne客户端,许先森的羞媳,听说这是大怨种人格#mbti#,['[doge]']
45分钟前转赞人数超过,6900来自小萝卜魔法Android,一个萌萌哒萝卜,#mbti#本enfp觉得非常准的一些memes,[]
45分钟前来自荣耀20,PRO,叶茼蒿今天吃荸荠了吗,虽迟但到的mbti我竟然是ENFP这些表情包真的是我本人了,['[喵喵]']
46分钟前转赞人数超过,300来自iPhone11,MBTImemes,#mbtimeme##intp#,[]
46分钟前来自HUAW,EIMate30Pro5G,SuperMaeve,看谷爱凌说自己的MBTI测试，她也是内向型。我当年测出来是内向，ISTJ，大家都觉得难以置信，说我怎么可能是内向。实际上我就是内向的人，这个测试帮助我更好地认识了自己，解答了很多内心矛盾的问题。有时候做一些心理测试，性格测试真的是有用的。2澳大利亚·BrisbaneCBD,[]
47分钟前转赞人数超过,700来自iPhone客户端,Auevoir,我会保存一些本#isfp#真实写照#mbtimeme#,[]
47分钟前来自iPho,neXR,Joyce璇爷,#mbti性格造型图鉴#@微博时尚短款渐变针织衫搭配直筒牛仔裤俏皮随性，搭上自在的一字凉鞋，是春天的色系没错啦～大概十年前求职时候测了一次，已经忘了结果，再测是ISTJ，实际又传统的人？那这样的春游穿搭合适么哈哈哈，好像又不太像~只有马尾辫真的是从小到大都很喜欢！性格展开c,[]
47分钟前来自HUAW,EIP30Pro,拜托拜托来点好运,#isfj#MBTI各位大冤种朋友们，想问问你们是哪个职业。正好找工作，也算精准定位了,['[并不简单]']
50分钟前转赞人数超过,100,OMG种草,你是属于性格好的女生吗？#mbti#,[]
49分钟前来自nova,4e3200W立体美颜,今天见到易烊千玺没有,怀疑自己是INFP这也太真实了吧#mbti#,[]
50分钟前来自Rita,’siPhone,靠窗三郎,看到这条微博的人现在就去做一套mbti测试！然后留下你的mbti我真的好好奇啊！！（v里搜mbti测试就有93题标准版,[]
50分钟前来自vivo,Y76s,不是谢灵运,#谷爱凌的MBTI是INTJ#咱就是说刚测完就看到这个话题了,[]
50分钟前来自iPho,ne客户端,好晕不晕,#mbti#在ESFJ和ESTJ横跳，反正逃不过ESJ了，行，像个母亲一样打心里鄙视蠢人,"['[太开心]', '[太开心]']"
51分钟前来自HUAW,EIP30Pro,羊角包战士,为什么mbti突然火了啊。。泛娱乐化到直逼星座，刷到好多营销号抖音网红都开始分析mbti，唉，烦。,[]
52分钟前来自Harm,onyOS设备,dheicbgskjwusjvy,一时兴起的思索：当我们运用MBTI，九型人格等等把人分门别类后，是否又会带来另类的歧视,[]
54分钟前转赞人数超过,400来自iPhone11,MBTImemes,#mbtimeme##infj#,[]
53分钟前来自Harm,onyOS设备,下次别来了摁,丈夫的mbti肯定又t又j,[]
54分钟前转赞人数超过,10来自MBTI超话,超话社区精选,好奇大家的#mbti#测试结果都是什么？我先来说，保护型的守卫者你呢？快在评论区聊聊找到自己的组织吧～（图源：网络）,['[抱一抱]']
54分钟前来自iQOO,Pro5G性能旗舰,_阿轩小朋友,有人可以讲解下嘛#mbti##enfp是人间天使#,['[doge]']
54分钟前来自vivo,Y73s5G,一般路过化学元素钠,苯人三年的mbti进化史ENFP→INFJ→INTJ从快乐修勾到小老头我经历了什么,[]
55分钟前转赞人数超过,20,云云Erin_Pistachio,isfp-a这些图有被准到…持续摆烂#mbti#,[]
54分钟前来自vivo,手机,小羊打嗝儿,竟然有人能把mbti人格都记清楚，这四个字母我测三遍都愣是没记住,['[交税]']
55分钟前来自iPho,ne客户端,在下李芷萱,封校&三月&每一天都哇塞博园&排骨饭改善饮食二楼蛋糕还是抢不到晨晨2月给我的朱顶红有在陪我茁壮成长沉迷MBTI测试有没有EDTJ安利程十安凄楚感妆容真的绝月末好开心！看到身边考研上岸拿offer的小伙伴一整个大开心住！大家怎么都这么牛最近总是和阿晴阿展开c,"['[打call]', '[doge]', '[赢牛奶]', '[哇]']"
56分钟前来自和歌山の,iPhone客户端,小萌萌呐咚,#mbti测试链接#还有没有指挥官？,[]
57分钟前来自iPho,ne客户端,阿姨别烦了,#MBTI职业性格测试#摆烂金牛女2南京,[]
57分钟前来自HUAW,EIMate20X,徐有容yyds,MBTI真的绝#mbti#,[]
58分钟前转赞人数超过,30,烤面包片代言人,关于小崔的mbti，我投ENFJ一票，为什么呢？因为我自己就是ENFJ，所以可能会对ENFJ这类人更加了解一点。下面简单分析一下，再从mbti的角度浅嗑一下小情侣。从我个人的体会来说，ENFJ是什么样的人呢？ENFJ最大的特征，就是我们有一个很大的成就感来源，是开发别人的潜能，见证/帮助一个强者从低位展开c,[]
57分钟前来自iPho,ne11,春笋甜漫,#mbti性格造型图鉴#@微博时尚我也蹭着热度，去测试了一下，我的人格类型是辩论家ENTP-A，我就是这样的女生，我特别能说，而且脑思路很清晰，长大想做一名律师。,[]
58分钟前来自新版微博,weibo.com,和洋看海_,#MBTI#怎么这样虽然测出来我是INFP-T但是看了分析图感觉isfp和isfj和我也好像啊而且之前测的也有isfp的可能性kusa啊啊啊啊啊啊啊,[]
59分钟前来自王一口超,话,如鲁智深般明媚的女子,王一口星座分析太玄学了，还是mbti测试有理有据令人信服！,[]
59分钟前来自iPho,ne客户端,甜舔狗勾,有病吧好好的MBTI测试都能被整出个鄙视链出来十六种人格谁比谁高贵啊,[]
59分钟前来自iQOO,U3性能小金刚,刘希琪永远稀奇古怪,#mbti#这四张真的是enfp本人,[]
59分钟前来自iPho,ne客户端,人间奶球罐,测试了是ENFJ-T，多少还是有点准的，就是一个很矛盾的个体#mbti十六型人格#,['[单身狗]']
今天15:59来自iP,hone客户端,是-Serendipity-呀,#mbti#enfp就是快乐修勾是我的真实写照了,['[开学季]']
今天15:58来自iP,hone客户端,阿姨别烦了,#MBTI职业性格测试#2南京,[]
今天15:56转赞人数,超过90,双的游乐园,【投稿】：“在一个mbti捏人链接里，发现里面徽章的花色居然是不同的性向和性别认同的小旗！在一些二元性别异性恋文化霸权的包围里看到这个捏人链接里的小旗，突然就很感动”捏人链接在评论区,"['[泪]', '[泪]']"
今天15:56来自iP,hone客户端,llxr_,#mbti测试链接#～是我是我,[]
今天15:56来自iP,hone客户端,是嘟嘟妹,#mbti性格造型图鉴#@微博时尚最近好火的mbti人格测试，我的是典型的ENFJ人格：外向直觉情感判断，热衷于为他人服务我平常的穿搭是蛮活泼的,"['[喵喵]', '[喵喵]', '[偷笑]', '[偷笑]']"
今天15:56,,来打俺一拳o,好家伙最近同学突然开始测mbti、连着测两次两次都不一样我寻思这是认真回答的吗、、我测八百次都是infp,[]
今天15:54,,不易切蛋易切橙,ENTP真的天天都很想跟朋友们贩会儿剑#mbti#,['[开学季]']
今天15:54来自HU,AWEIMate40E,AspenSS,测mbti一年一个样，从intp到infp，再到现在的istp。这东西真的不准吧,"['[二哈]', '[二哈]']"
今天15:53来自iP,hone客户端,17岁废柴爱锦鲤,之前测的我的mbti，刚看到对应的特点里这条，哈哈哈……别的不说，这雀实很准呢,[]
今天15:53来自iP,hone客户端,verisfeelingblue,1.测了mbti我是标准的ENTP典型的那种entp+金牛这个组合实在是太我了优缺点都是我怎么说呢我知道很多点招人讨厌可是怎么办呢我就是喜欢搞特殊2.实在是太久没喝酒了真的很开心当年的酒精战神现在天天靠着用vertuo煮黑咖啡当意识清醒的食粮3.jewlery课做的戒指critique的时候展开c,['[苦涩]']
今天15:53来自iP,hone客户端,w橘橘橘子w,最近被各种安利mbti，我是intj，男朋友是esfp，吵架的时候看了一圈，突然就恍然大悟了：原来他身上让我看不惯的地方不是他还不够成熟，而是他的性格就是如此……突然就包容他了……,['[开学季]']
今天15:52来自iP,hone客户端,股市论金,#mbti性格造型图鉴#@微博时尚我连续测了两次，今天我帮了小可爱也测了一下，mbti测评结果出来了，人格类型是辩论家ENTP-A，确实精力旺盛，直觉型的小子，做起事来很坚决果断，有点超前他老爸了！“辩论家”人格，追寻危险而独立的思想者的脚步。不畏争议表达观点，说出你的想法，宁愿被当作精神展开c,[]
今天15:52来自小米,8周年旗舰手机,庄庄慵懒到无法起床,刚刚和朋友讲到自己最近认识到的一些关于塔罗和占卜的知识，发现自己在某种程度上打破了那种对星座，对玄学的偏见。说白了，每个人的人生中一定会有许多举棋不定的事情。MBTI的分析性比较强，理解分析性比较重；塔罗占卜星座玄学性比较强，引导和指引作用比较重。大家只不过从不同方法里试图解决关于展开c,[]
今天15:52来自新版,微博weibo.com,芬茝,#mbti#从疫情在家测的INFJ，变成去年年底的ISFJ，且S/N倾向不明显，推荐做300题测试，再到现在的ISFP。。。我深刻理解了人是会变的,[]
今天15:52来自no,va8我由我掌镜,掉渣饼不掉渣zyzy,当时上第一节Enhance那门课的时候Nancy让我们做16性格测试当时真的没有当回事儿我一直觉得你自己是什么样的人需要自己去不断探寻自己了解自己是个很漫长的过程类似的性格测试都当玩游戏一样就过去了但是MBTI这个人格测试做完又仔细看了分析报告之后真的有点准了不是真的非常准了我觉得,[]
今天15:52转赞人数,超过200来自谷爱凌超话,网易娱乐频道,#谷爱凌的MBTI是INTJ#谷爱凌@青蛙公主爱凌透露自己的MBTI是INTJ，建筑师型人格，内向、直觉、理智、独立。“我一直说自己是个内向的人”“更想一个人呆在屋里学物理读书或者写作文。”有跟我们朋友一样的吗,[]
今天15:52来自HU,AWEIP30Pro,眼儿Yar,做了好几遍MBTI都是esfp，不想承认但是看到下面这些图好吧，是我是我还是我，天蝎座的esfp是什么神级矛盾体吖#mbti##esfp#,"['[苦涩]', '[苦涩]', '[苦涩]', '[苦涩]', '[苦涩]']"
今天15:51转赞人数,超过1400,娱乐圈有饭,#mbti#最近有没有看到一堆人在用奇奇怪怪的字母来刻画自己的性格大火的mbti测试，你测了吗,"['[doge]', '[送花花]']"
今天15:50来自iP,hone客户端,羊大人9,重新测了mbti，从杠精entp变孤独家intp了，唯一的变化就是e和i，其实现实中也是有人说我很开朗有人说我很内向，好像确实都有。,[]
今天15:49来自iP,hone客户端,xxxiguhhhht,IamENFJ-A#mbti##enfj#,"['[开学季]', '[开学季]']"
今天15:48来自iP,hone客户端,世界非常著名真善美少女,陶白白应该有点危机感了，赶紧想想办法把目标用户都聚集回去研究星座，别让mbti营销号赚钱。,['[浮云]']
今天15:45,,贝贝我真的跑不动了,我是真的真的特别不喜欢麻烦别人，但是别人麻烦我的时候，只要那个人我不讨厌我就会尽心尽力地帮助别人#人格测试##mbti#,[]
今天15:45转赞人数,超过70来自朴栖含超话,纪沫STYLE,朴栖含栖含17年测试mbti时是enfj，看了一下还蛮准的，尤其是：“温柔，擅长带入感情，责任心强关心他人的感情，要求和目的亲切多情，内心温暖，为了帮助身边的人会牺牲自己，但却不会寻求帮助”总的来说，哥是个很会共情的温柔感性又温暖的人吧，很多时候都只考虑别人，有什么事却只会自展开c,[]
今天15:44来自HU,AWEIMate40,昼光与暗,今日份enfp&isfp饭搭分享#mbti#,['[赢牛奶]']
今天15:43转赞人数,超过700,cestmoii,mbti的测试结果其实是会变的，或许每年做一次就会发现自己在改变。我读书的时候做是infj，工作之后变成了enfj。很多商学院就会给学生做这个，企业大厂也会做，主要也是为了平衡团队里每个人的角色和职责。可以当作自己进步和改变的一个衡量标准吧，也可以发掘一些自己的闪光点，根本没有好坏之分，世展开c,[]
今天15:43来自iP,hone11(紫色),庄嘉蕊,#MBTI##estj#我我一定可以做得更好2延边朝鲜族自治州,"['[泪]', '[揣手]']"
今天15:43来自HU,AWEIP30,__Antarctique,逐渐感觉滥用mbti和星座的人写出来的文章就像是用优美词藻+专业术语随机生成器随机出来的一样,['[疑问]']
今天15:43转赞人数,超过100来自微博搜索,每天都有新实习,#mbti#做MBTI不仅仅是网上随便来几套题就结束了，市面上大多数的题还都是假的。正规的测试做完后，还要在评估师指导下来看那些准那些不准，然后做调整，还要看看是1个还是2个还是3个不准，然后再结合不准的数量再去调整，最后可能还要用二分法进一步确认，最后才能得出一个靠谱的结论。,[]
今天15:41转赞人数,超过10来自nova7Pro你在焦点在,高个中的小短腿儿,#mbti#身边有我这种enfp人格的人是多么幸福的一件事呀！我们可是快乐的小#enfp#2哈尔滨,[]
今天15:41来自罗马,假日后花园超话,甜薇珍猪包,罗马假日后花园记录一下MBTI,"['[馋嘴]', '[馋嘴]', '[馋嘴]']"
今天15:40来自小米,10S,邊渡Man,上班摸摸鱼#mbti职业性格测试#测了一下，是intp人格，还是挺准的，是不是准备孤独终老了,"['[哆啦A梦害怕]', '[哆啦A梦害怕]']"
今天15:40来自An,droid,hahahollo,#谷爱凌的MBTI是INTJ#事实证明INTJ也分低配版，说的就是我,['[苦涩]']
今天15:40,,小秒针本珍吖_,#esfj##mbti#好像有那个社牛2临沂·临沂大学,['[doge]']
今天15:40来自iP,hone,球球和你拼啦,#mbti测试链接#雀氏还挺准,[]
今天15:39来自iP,hone,pppear_t,1测了一直想测的mbti（没想到自己是内向的人ovo）2这周拍了美美哒的照“骗”3终于抢到了四级！！！4567吃吃吃吃吃吃8学校的luckin赶紧给我开张9来自男朋友投喂的豆干2广州,"['[喵喵]', '[喵喵]', '[污]', '[污]', '[鼓掌]', '[鼓掌]', '[舔屏]', '[舔屏]', '[怒]', '[怒]', '[心]', '[心]']"
今天15:39来自iP,hone客户端,臭脸美翻泥,当我花了10分钟做完最近很火的mbti,[]
今天15:39来自HU,AWEIP405G,奶nei十三,#mbti#算了不挣扎了就entj吧总觉得别家entj都好优秀而我根本不是这样于是搜罗各种不同链接测试八维也测怎么全是entju1s1浪费的时间真的多再也不在这种事上浪费时间了无聊有这时间不如去过剧情,"['[失望]', '[汗]']"
今天15:38来自iP,hone客户端,我是一个宝宝你知道了吗,Mbti就无法分类我我即情感丰富爱emo爱幻想又务实讲科学理性思考不喜欢接地气的市井社会气但也不喜欢不着边际的空想即拖延也讲求效率不喜欢迟到但也不喜欢把行程塞满即高冷爱独处但也在派对里炒热气氛玩得最嗨说真的人如果那么简单地被分类我也会怀疑他的内核不够丰富,[]
今天15:37来自微博,国际版,睡不醒散人,听说MBTI很火？,"['[二哈]', '[二哈]']"
今天15:37转赞人数,超过10,可乐不快乐了,#mbti#是我！,[]
今天15:37来自iP,hone客户端,坚强美少吕,#mbti#esfp,"['[思考]', '[思考]', '[思考]']"
发表时间,信息,用户名,内容,用到表情,uid,weibo_id
03月10日14:35,,人间投影仪,那就摆烂#每天啥都不想干怎么办##成长有态度#,[],5818574750,Lj59qf0nV
03月12日17:18,来自iPhone客户端,我是凉斤斤,哈哈哈哈哈哈哈哈哈嗝…#每天啥都不想干怎么办#L我是凉斤斤的微博视频,[],6974320062,Ljp4ldWXu
03月10日15:32,来自情感超话,神P手爱德华,一组摆烂表情包（好实用！）#每天啥都不想干怎么办#,['[喵喵]'],2366586964,Lj5wDDKzj
